1,20,Tortilla,2,20,28/06/2019 23:09,36
1,20,Gazpacho,2,16,28/06/2019 23:09,36
2,10,Gazpacho,2,16,11/12/2021 15:29,91
2,10,Paella,2,26,11/12/2021 15:29,91
2,10,Quesadilla,3,39,11/12/2021 15:29,91
2,10,Tortilla,1,10,11/12/2021 15:29,91
3,6,Quesadilla,2,26,20/08/2020 04:30,39
3,6,Paella,1,13,20/08/2020 04:30,39
4,16,Fideua,3,45,11/09/2019 02:03,114
4,16,Paella,1,13,11/09/2019 02:03,114
4,16,Quesadilla,2,26,11/09/2019 02:03,114
4,16,Tortilla,3,30,11/09/2019 02:03,114
5,20,Gazpacho,2,16,28/08/2019 17:17,42
5,20,Paella,2,26,28/08/2019 17:17,42
6,10,Tortilla,3,30,02/08/2019 22:09,30
7,11,Fideua,2,30,26/06/2021 15:54,106
7,11,Quesadilla,1,13,26/06/2021 15:54,106
7,11,Gazpacho,3,24,26/06/2021 15:54,106
7,11,Paella,3,39,26/06/2021 15:54,106
8,12,Tortilla,3,30,04/05/2021 18:27,80
8,12,Paella,1,13,04/05/2021 18:27,80
8,12,Gazpacho,3,24,04/05/2021 18:27,80
8,12,Quesadilla,1,13,04/05/2021 18:27,80
9,6,Quesadilla,3,39,21/07/2020 21:17,113
9,6,Fideua,2,30,21/07/2020 21:17,113
9,6,Gazpacho,3,24,21/07/2020 21:17,113
9,6,Tortilla,2,20,21/07/2020 21:17,113
10,15,Quesadilla,3,39,02/08/2019 03:33,39
11,8,Quesadilla,1,13,14/03/2021 04:17,13
12,6,Paella,3,39,28/06/2021 18:52,89
12,6,Quesadilla,2,26,28/06/2021 18:52,89
12,6,Gazpacho,3,24,28/06/2021 18:52,89
13,8,Tortilla,1,10,03/09/2019 11:13,10
14,2,Gazpacho,2,16,11/06/2019 11:57,42
14,2,Paella,1,13,11/06/2019 11:57,42
14,2,Quesadilla,1,13,11/06/2019 11:57,42
15,11,Gazpacho,2,16,28/09/2021 08:02,29
15,11,Paella,1,13,28/09/2021 08:02,29
16,10,Quesadilla,3,39,30/08/2019 09:57,39
17,9,Fideua,3,45,15/06/2020 16:02,45
18,5,Tortilla,3,30,21/08/2019 22:21,30
19,5,Gazpacho,1,8,08/07/2021 09:20,96
19,5,Quesadilla,1,13,08/07/2021 09:20,96
19,5,Tortilla,3,30,08/07/2021 09:20,96
19,5,Fideua,3,45,08/07/2021 09:20,96
20,12,Gazpacho,3,24,17/02/2020 12:23,62
20,12,Paella,1,13,17/02/2020 12:23,62
20,12,Fideua,1,15,17/02/2020 12:23,62
20,12,Tortilla,1,10,17/02/2020 12:23,62
21,9,Gazpacho,2,16,02/12/2021 23:00,111
21,9,Quesadilla,3,39,02/12/2021 23:00,111
21,9,Paella,2,26,02/12/2021 23:00,111
21,9,Fideua,2,30,02/12/2021 23:00,111
22,2,Tortilla,2,20,18/01/2020 21:36,28
22,2,Gazpacho,1,8,18/01/2020 21:36,28
23,8,Fideua,3,45,14/07/2021 23:53,63
23,8,Gazpacho,1,8,14/07/2021 23:53,63
23,8,Tortilla,1,10,14/07/2021 23:53,63
24,11,Tortilla,1,10,06/12/2020 22:20,72
24,11,Paella,3,39,06/12/2020 22:20,72
24,11,Fideua,1,15,06/12/2020 22:20,72
24,11,Gazpacho,1,8,06/12/2020 22:20,72
25,18,Gazpacho,1,8,01/09/2020 00:28,41
25,18,Paella,1,13,01/09/2020 00:28,41
25,18,Tortilla,2,20,01/09/2020 00:28,41
26,17,Tortilla,2,20,29/10/2021 16:53,20
27,20,Tortilla,3,30,01/08/2020 14:13,30
28,13,Quesadilla,2,26,10/03/2021 10:22,75
28,13,Paella,3,39,10/03/2021 10:22,75
28,13,Tortilla,1,10,10/03/2021 10:22,75
29,8,Tortilla,3,30,18/04/2020 17:24,30
30,5,Quesadilla,1,13,06/05/2019 01:22,92
30,5,Paella,2,26,06/05/2019 01:22,92
30,5,Gazpacho,1,8,06/05/2019 01:22,92
30,5,Fideua,3,45,06/05/2019 01:22,92
31,2,Paella,3,39,11/09/2019 14:23,104
31,2,Fideua,1,15,11/09/2019 14:23,104
31,2,Quesadilla,2,26,11/09/2019 14:23,104
31,2,Gazpacho,3,24,11/09/2019 14:23,104
32,3,Gazpacho,2,16,29/01/2021 15:32,81
32,3,Quesadilla,2,26,29/01/2021 15:32,81
32,3,Paella,3,39,29/01/2021 15:32,81
33,18,Quesadilla,1,13,19/03/2021 19:48,13
34,10,Fideua,2,30,03/12/2019 05:37,56
34,10,Quesadilla,2,26,03/12/2019 05:37,56
35,19,Fideua,2,30,10/11/2020 13:42,95
35,19,Tortilla,1,10,10/11/2020 13:42,95
35,19,Quesadilla,3,39,10/11/2020 13:42,95
35,19,Gazpacho,2,16,10/11/2020 13:42,95
36,11,Fideua,1,15,15/10/2021 20:23,41
36,11,Paella,2,26,15/10/2021 20:23,41
37,20,Paella,3,39,19/11/2021 16:03,105
37,20,Fideua,2,30,19/11/2021 16:03,105
37,20,Quesadilla,2,26,19/11/2021 16:03,105
37,20,Tortilla,1,10,19/11/2021 16:03,105
38,14,Paella,3,39,25/09/2020 17:36,79
38,14,Tortilla,1,10,25/09/2020 17:36,79
38,14,Fideua,2,30,25/09/2020 17:36,79
39,19,Fideua,2,30,04/05/2019 22:02,56
39,19,Paella,2,26,04/05/2019 22:02,56
40,17,Fideua,3,45,24/01/2021 21:15,91
40,17,Tortilla,2,20,24/01/2021 21:15,91
40,17,Quesadilla,2,26,24/01/2021 21:15,91